,feature_1,feature_2,feature_3,feature_4,label
0,24.0,0.0,16.0,8.0,1.0
1,13.0,2.0,16.0,19.0,1.0
2,14.0,1.0,20.0,15.0,1.0
3,23.0,1.0,14.0,6.0,1.0
4,12.0,0.0,11.0,23.0,1.0
5,32.0,1.0,20.0,9.0,1.0
6,27.0,3.0,17.0,8.0,1.0
7,11.0,13.0,15.0,19.0,0.0
8,22.0,2.0,10.0,13.0,1.0
9,16.0,1.0,23.0,9.0,1.0
10,18.0,0.0,10.0,15.0,1.0
11,10.0,16.0,15.0,11.0,0.0
12,13.0,1.0,18.0,18.0,1.0
13,21.0,1.0,15.0,11.0,1.0
14,15.0,3.0,18.0,12.0,1.0
15,17.0,11.0,15.0,14.0,0.0
16,21.0,0.0,17.0,13.0,1.0
17,14.0,1.0,14.0,17.0,1.0
18,12.0,13.0,8.0,11.0,0.0
19,20.0,0.0,14.0,6.0,1.0
20,19.0,0.0,14.0,16.0,1.0
21,17.0,0.0,19.0,19.0,1.0
22,20.0,1.0,22.0,15.0,1.0
23,14.0,2.0,24.0,16.0,1.0
24,27.0,2.0,22.0,14.0,1.0
25,21.0,0.0,14.0,18.0,1.0
26,18.0,0.0,5.0,16.0,1.0
27,18.0,2.0,15.0,15.0,1.0
28,18.0,3.0,5.0,15.0,1.0
29,22.0,1.0,19.0,11.0,1.0
30,25.0,1.0,20.0,7.0,1.0
31,24.0,1.0,11.0,11.0,1.0
32,15.0,9.0,18.0,10.0,0.0
33,11.0,7.0,11.0,9.0,0.0
34,24.0,2.0,19.0,20.0,1.0
35,13.0,1.0,22.0,10.0,1.0
36,11.0,1.0,17.0,13.0,1.0
37,12.0,10.0,16.0,13.0,0.0
38,12.0,11.0,11.0,16.0,0.0
39,16.0,2.0,9.0,8.0,1.0
40,27.0,0.0,17.0,12.0,1.0
41,19.0,12.0,14.0,11.0,0.0
42,15.0,1.0,14.0,11.0,1.0
43,22.0,1.0,14.0,16.0,1.0
44,19.0,3.0,23.0,15.0,1.0
45,14.0,0.0,18.0,8.0,1.0
46,16.0,0.0,19.0,12.0,1.0
47,16.0,1.0,9.0,23.0,1.0
48,14.0,9.0,11.0,14.0,0.0
49,15.0,15.0,9.0,16.0,0.0
50,15.0,15.0,11.0,8.0,0.0
51,18.0,0.0,15.0,16.0,1.0
52,25.0,0.0,15.0,12.0,1.0
53,28.0,1.0,17.0,11.0,1.0
54,8.0,9.0,19.0,13.0,0.0
55,13.0,0.0,16.0,11.0,1.0
56,17.0,1.0,16.0,10.0,1.0
57,11.0,17.0,9.0,13.0,0.0
58,13.0,4.0,21.0,8.0,1.0
59,12.0,3.0,10.0,18.0,1.0
60,13.0,1.0,20.0,9.0,1.0
61,20.0,0.0,23.0,16.0,1.0
62,7.0,11.0,13.0,12.0,0.0
63,14.0,1.0,17.0,13.0,1.0
64,13.0,6.0,12.0,17.0,0.0
65,21.0,1.0,5.0,12.0,1.0
66,9.0,5.0,23.0,11.0,1.0
67,23.0,2.0,15.0,11.0,1.0
68,6.0,11.0,15.0,18.0,0.0
69,16.0,11.0,9.0,7.0,0.0
70,20.0,2.0,13.0,10.0,1.0
71,23.0,4.0,21.0,8.0,1.0
72,17.0,0.0,17.0,19.0,1.0
73,26.0,3.0,13.0,8.0,1.0
74,15.0,1.0,18.0,13.0,1.0
75,19.0,3.0,11.0,16.0,1.0
76,11.0,12.0,13.0,10.0,0.0
77,16.0,2.0,17.0,9.0,1.0
78,19.0,1.0,17.0,11.0,1.0
79,32.0,0.0,16.0,14.0,1.0
80,17.0,2.0,17.0,15.0,1.0
81,12.0,9.0,11.0,15.0,0.0
82,11.0,10.0,11.0,20.0,0.0
83,10.0,3.0,13.0,13.0,1.0
84,22.0,1.0,17.0,7.0,1.0
85,12.0,14.0,9.0,17.0,0.0
86,14.0,15.0,11.0,10.0,0.0
87,12.0,14.0,15.0,11.0,0.0
88,27.0,0.0,16.0,17.0,1.0
89,22.0,0.0,23.0,15.0,1.0
90,12.0,11.0,10.0,14.0,0.0
91,26.0,2.0,20.0,16.0,1.0
92,11.0,17.0,14.0,11.0,0.0
93,22.0,1.0,21.0,14.0,1.0
94,13.0,5.0,15.0,7.0,0.0
95,11.0,15.0,9.0,14.0,0.0
96,24.0,5.0,26.0,16.0,1.0
97,13.0,1.0,19.0,10.0,1.0
98,15.0,1.0,13.0,14.0,1.0
99,24.0,1.0,27.0,16.0,1.0
