,feature_1,feature_2,feature_3,feature_4,label
0,6.0,22.0,14.0,12.0,1.0
1,10.0,26.0,10.0,12.0,1.0
2,9.0,16.0,7.0,15.0,1.0
3,7.0,17.0,7.0,15.0,1.0
4,16.0,14.0,11.0,10.0,0.0
5,11.0,17.0,12.0,22.0,1.0
6,12.0,12.0,15.0,13.0,0.0
7,6.0,9.0,7.0,19.0,1.0
8,8.0,15.0,10.0,10.0,1.0
9,11.0,15.0,6.0,18.0,1.0
10,17.0,7.0,13.0,9.0,0.0
11,10.0,16.0,7.0,13.0,1.0
12,9.0,14.0,11.0,14.0,1.0
13,15.0,15.0,18.0,18.0,0.0
14,15.0,13.0,17.0,14.0,0.0
15,9.0,22.0,13.0,21.0,1.0
16,15.0,9.0,12.0,11.0,0.0
17,18.0,16.0,14.0,16.0,0.0
18,9.0,15.0,14.0,18.0,1.0
19,4.0,14.0,5.0,20.0,1.0
20,11.0,17.0,14.0,12.0,0.0
21,9.0,17.0,8.0,14.0,1.0
22,8.0,21.0,9.0,16.0,1.0
23,7.0,20.0,14.0,16.0,0.0
24,12.0,15.0,10.0,15.0,1.0
25,9.0,10.0,10.0,13.0,1.0
26,12.0,6.0,7.0,16.0,0.0
27,13.0,12.0,10.0,19.0,1.0
28,6.0,19.0,5.0,22.0,1.0
29,3.0,13.0,12.0,19.0,1.0
30,5.0,9.0,14.0,16.0,1.0
31,6.0,12.0,11.0,15.0,1.0
32,11.0,15.0,13.0,14.0,0.0
33,7.0,22.0,9.0,12.0,1.0
34,9.0,10.0,17.0,12.0,0.0
35,9.0,20.0,12.0,10.0,1.0
36,13.0,16.0,17.0,21.0,1.0
37,9.0,13.0,10.0,17.0,0.0
38,9.0,17.0,11.0,13.0,1.0
39,17.0,10.0,9.0,9.0,0.0
40,18.0,21.0,17.0,12.0,0.0
41,10.0,19.0,6.0,23.0,1.0
42,3.0,12.0,10.0,17.0,1.0
43,6.0,19.0,17.0,13.0,1.0
44,13.0,12.0,11.0,15.0,0.0
45,6.0,17.0,13.0,7.0,1.0
46,8.0,12.0,12.0,15.0,0.0
47,8.0,13.0,11.0,19.0,1.0
48,14.0,11.0,13.0,14.0,0.0
49,10.0,9.0,8.0,12.0,0.0
50,12.0,13.0,10.0,14.0,1.0
51,8.0,12.0,7.0,16.0,1.0
52,10.0,21.0,14.0,10.0,1.0
53,4.0,12.0,12.0,22.0,1.0
54,7.0,15.0,16.0,18.0,1.0
55,6.0,10.0,8.0,15.0,1.0
56,15.0,16.0,11.0,18.0,0.0
57,9.0,15.0,13.0,22.0,1.0
58,7.0,9.0,8.0,6.0,0.0
59,11.0,19.0,12.0,22.0,1.0
60,9.0,17.0,9.0,19.0,1.0
61,13.0,13.0,17.0,11.0,0.0
62,8.0,11.0,8.0,10.0,1.0
63,12.0,11.0,14.0,17.0,0.0
64,6.0,15.0,16.0,15.0,1.0
65,4.0,23.0,18.0,17.0,1.0
66,6.0,14.0,13.0,19.0,1.0
67,11.0,19.0,17.0,19.0,1.0
68,4.0,11.0,11.0,13.0,1.0
69,4.0,21.0,15.0,13.0,1.0
70,6.0,16.0,12.0,20.0,1.0
71,3.0,16.0,12.0,22.0,1.0
72,12.0,17.0,9.0,20.0,1.0
73,13.0,9.0,8.0,10.0,0.0
74,8.0,17.0,10.0,18.0,1.0
75,7.0,18.0,7.0,19.0,1.0
76,8.0,11.0,15.0,8.0,0.0
77,12.0,9.0,15.0,12.0,0.0
78,7.0,16.0,12.0,18.0,1.0
79,4.0,17.0,8.0,11.0,1.0
80,11.0,17.0,10.0,8.0,1.0
81,11.0,20.0,12.0,13.0,1.0
82,4.0,9.0,8.0,12.0,1.0
83,9.0,13.0,10.0,14.0,1.0
84,6.0,12.0,11.0,19.0,1.0
85,4.0,16.0,11.0,16.0,1.0
86,14.0,11.0,11.0,18.0,0.0
87,8.0,8.0,17.0,9.0,0.0
88,4.0,14.0,13.0,14.0,1.0
89,6.0,16.0,6.0,8.0,1.0
90,12.0,17.0,9.0,13.0,1.0
91,8.0,23.0,10.0,14.0,1.0
92,12.0,10.0,10.0,17.0,0.0
93,5.0,11.0,18.0,16.0,1.0
94,4.0,16.0,15.0,19.0,1.0
95,6.0,12.0,9.0,17.0,1.0
96,9.0,18.0,13.0,13.0,1.0
97,5.0,14.0,8.0,14.0,1.0
98,12.0,14.0,12.0,11.0,0.0
99,7.0,19.0,7.0,20.0,1.0
100,8.0,11.0,9.0,15.0,1.0
101,7.0,10.0,5.0,16.0,1.0
102,6.0,13.0,7.0,20.0,1.0
103,11.0,13.0,10.0,17.0,1.0
104,12.0,13.0,13.0,15.0,0.0
105,10.0,13.0,11.0,12.0,0.0
106,11.0,13.0,12.0,21.0,1.0
107,13.0,11.0,9.0,15.0,0.0
108,17.0,14.0,14.0,15.0,0.0
109,14.0,14.0,9.0,18.0,0.0
110,8.0,23.0,9.0,12.0,0.0
111,13.0,11.0,8.0,11.0,0.0
112,11.0,12.0,9.0,16.0,1.0
113,9.0,21.0,7.0,13.0,1.0
114,17.0,20.0,14.0,10.0,0.0
115,12.0,12.0,19.0,14.0,0.0
116,17.0,14.0,15.0,8.0,0.0
117,5.0,15.0,9.0,15.0,1.0
118,13.0,15.0,12.0,14.0,0.0
119,9.0,13.0,18.0,13.0,1.0
120,11.0,13.0,11.0,10.0,0.0
121,9.0,17.0,16.0,9.0,0.0
122,13.0,15.0,12.0,13.0,0.0
123,5.0,11.0,16.0,20.0,1.0
124,7.0,8.0,7.0,13.0,1.0
125,7.0,14.0,13.0,20.0,1.0
126,7.0,22.0,7.0,23.0,1.0
127,4.0,10.0,8.0,15.0,1.0
128,9.0,14.0,11.0,9.0,0.0
129,8.0,15.0,12.0,17.0,1.0
130,8.0,15.0,10.0,9.0,1.0
131,18.0,10.0,16.0,12.0,0.0
132,7.0,16.0,10.0,13.0,1.0
133,12.0,13.0,16.0,16.0,0.0
134,14.0,9.0,18.0,9.0,0.0
135,12.0,9.0,12.0,12.0,0.0
136,7.0,19.0,19.0,13.0,1.0
137,13.0,13.0,19.0,14.0,0.0
138,7.0,14.0,7.0,18.0,1.0
139,6.0,14.0,17.0,22.0,1.0
140,9.0,14.0,9.0,17.0,1.0
141,10.0,24.0,17.0,15.0,1.0
142,11.0,14.0,6.0,14.0,1.0
143,20.0,10.0,14.0,14.0,0.0
144,8.0,15.0,15.0,16.0,0.0
145,5.0,14.0,10.0,15.0,1.0
146,9.0,14.0,11.0,23.0,1.0
147,9.0,22.0,18.0,21.0,1.0
